BSCS,BACHELOR OF SCIENCE IN COMPUTER SCIENCE
BSCA,BACHELOR OF SCIENCE IN COMPUTER APPLICATION
BSIS,BACHELOR OF SCIENCE IN INFORMATION SYSTEMS
BSIT,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
BSPSYCH,BACHELOR OF SCIENCE IN PSYCHOLOGY
